2019-01,Alberta,Part-time employment,Females,294.5
2019-01,Alberta,Unemployment,Females,69.5
2019-01,British Columbia,Population,Females,2063.2
2019-01,British Columbia,Labour force,Females,1283.7
2019-01,British Columbia,Employment,Females,1226.4
2019-01,British Columbia,Full-time employment,Females,845.6
2019-01,British Columbia,Part-time employment,Females,380.8
2019-01,British Columbia,Unemployment,Females,57.3
2019-01,Canada,Population,Males,15050.7
2019-01,Canada,Labour force,Males,10542
2019-01,Canada,Employment,Males,9888.2
2019-01,Canada,Full-time employment,Males,8621.4
2019-01,Canada,Part-time employment,Males,1266.8
2019-01,Canada,Unemployment,Males,653.8
2019-01,Newfoundland and Labrador,Population,Males,216.4
2019-01,Newfoundland and Labrador,Labour force,Males,138.5
2019-01,Newfoundland and Labrador,Employment,Males,118.8
2019-01,Newfoundland and Labrador,Full-time employment,Males,105.2
2019-01,Newfoundland and Labrador,Part-time employment,Males,13.6
2019-01,Newfoundland and Labrador,Unemployment,Males,19.7
2019-01,Prince Edward Island,Population,Males,62.1
2019-01,Prince Edward Island,Labour force,Males,42.9
2019-01,Prince Edward Island,Employment,Males,37.9
2019-01,Prince Edward Island,Full-time employment,Males,34.1
2019-01,Prince Edward Island,Part-time employment,Males,3.8
2019-01,Prince Edward Island,Unemployment,Males,5.1
2019-01,Nova Scotia,Population,Males,389.1
2019-01,Nova Scotia,Labour force,Males,254.5
2019-01,Nova Scotia,Employment,Males,234.8
2019-01,Nova Scotia,Full-time employment,Males,208.7
2019-01,Nova Scotia,Part-time employment,Males,26.1
2019-01,Nova Scotia,Unemployment,Males,19.6
2019-01,New Brunswick,Population,Males,307.5
2019-01,New Brunswick,Labour force,Males,196.6
2019-01,New Brunswick,Employment,Males,179.2
2019-01,New Brunswick,Full-time employment,Males,162.2
2019-01,New Brunswick,Part-time employment,Males,17
2019-01,New Brunswick,Unemployment,Males,17.5
2019-01,Quebec,Population,Males,3481.3
2019-01,Quebec,Labour force,Males,2383.8
2019-01,Quebec,Employment,Males,2249
2019-01,Quebec,Full-time employment,Males,1954.2
2019-01,Quebec,Part-time employment,Males,294.8
2019-01,Quebec,Unemployment,Males,134.8
2019-01,Ontario,Population,Males,5873.4
2019-01,Ontario,Labour force,Males,4082.4
2019-01,Ontario,Employment,Males,3834.3
2019-01,Ontario,Full-time employment,Males,3324.2
2019-01,Ontario,Part-time employment,Males,510.1
2019-01,Ontario,Unemployment,Males,248.1
2019-01,Manitoba,Population,Males,511.2
2019-01,Manitoba,Labour force,Males,370.7
2019-01,Manitoba,Employment,Males,347.8
2019-01,Manitoba,Full-time employment,Males,303.7
2019-01,Manitoba,Part-time employment,Males,44.2
2019-01,Manitoba,Unemployment,Males,22.9
2019-01,Saskatchewan,Population,Males,447.5
2019-01,Saskatchewan,Labour force,Males,330.3
2019-01,Saskatchewan,Employment,Males,312.5
2019-01,Saskatchewan,Full-time employment,Males,275.3
2019-01,Saskatchewan,Part-time employment,Males,37.2
2019-01,Saskatchewan,Unemployment,Males,17.8
2019-01,Alberta,Population,Males,1761.5
2019-01,Alberta,Labour force,Males,1353.4
2019-01,Alberta,Employment,Males,1253.1
2019-01,Alberta,Full-time employment,Males,1127.1
2019-01,Alberta,Part-time employment,Males,126
2019-01,Alberta,Unemployment,Males,100.3
2019-01,British Columbia,Population,Males,2000.6
2019-01,British Columbia,Labour force,Males,1388.8
2019-01,British Columbia,Employment,Males,1320.8
2019-01,British Columbia,Full-time employment,Males,1126.7
2019-01,British Columbia,Part-time employment,Males,194
2019-01,British Columbia,Unemployment,Males,68
2019-05,Canada,Population,Females,15541.6
2019-05,Canada,Labour force,Females,9540.2
2019-05,Canada,Employment,Females,9070.1
2019-05,Canada,Full-time employment,Females,6745.7
2019-05,Canada,Part-time employment,Females,2324.4
2019-05,Canada,Unemployment,Females,470.2
2019-05,Newfoundland and Labrador,Population,Females,225.1
2019-05,Newfoundland and Labrador,Labour force,Females,123.1
2019-05,Newfoundland and Labrador,Employment,Females,110.5
2019-05,Newfoundland and Labrador,Full-time employment,Females,90.4
2019-05,Newfoundland and Labrador,Part-time employment,Females,20.1
2019-05,Newfoundland and Labrador,Unemployment,Females,12.6
2019-05,Prince Edward Island,Population,Females,65.4
2019-05,Prince Edward Island,Labour force,Females,40.5
2019-05,Prince Edward Island,Employment,Females,38.1
2019-05,Prince Edward Island,Full-time employment,Females,30.5
2019-05,Prince Edward Island,Part-time employment,Females,7.6
2019-05,Prince Edward Island,Unemployment,Females,2.4
2019-05,Nova Scotia,Population,Females,414.9
2019-05,Nova Scotia,Labour force,Females,245.6
2019-05,Nova Scotia,Employment,Females,232.5
2019-05,Nova Scotia,Full-time employment,Females,174.1
2019-05,Nova Scotia,Part-time employment,Females,58.4
2019-05,Nova Scotia,Unemployment,Females,13.1
2019-05,New Brunswick,Population,Females,322.1
2019-05,New Brunswick,Labour force,Females,185.9
2019-05,New Brunswick,Employment,Females,175.8
2019-05,New Brunswick,Full-time employment,Females,140
2019-05,New Brunswick,Part-time employment,Females,35.8
2019-05,New Brunswick,Unemployment,Females,10.1
2019-05,Quebec,Population,Females,3549.6
2019-05,Quebec,Labour force,Females,2160.4
2019-05,Quebec,Employment,Females,2072.8
2019-05,Quebec,Full-time employment,Females,1550.3
2019-05,Quebec,Part-time employment,Females,522.5
2019-05,Quebec,Unemployment,Females,87.6
2019-05,Ontario,Population,Females,6181.7
2019-05,Ontario,Labour force,Females,3734.5
2019-05,Ontario,Employment,Females,3546
2019-05,Ontario,Full-time employment,Females,2671.8
2019-05,Ontario,Part-time employment,Females,874.2
2019-05,Ontario,Unemployment,Females,188.5
2019-05,Manitoba,Population,Females,521.9
2019-05,Manitoba,Labour force,Females,321.6
2019-05,Manitoba,Employment,Females,306.9
2019-05,Manitoba,Full-time employment,Females,220.4
2019-05,Manitoba,Part-time employment,Females,86.5
2019-05,Manitoba,Unemployment,Females,14.7
2019-05,Saskatchewan,Population,Females,440.5
2019-05,Saskatchewan,Labour force,Females,278.4
2019-05,Saskatchewan,Employment,Females,264.9
2019-05,Saskatchewan,Full-time employment,Females,198.9
2019-05,Saskatchewan,Part-time employment,Females,66
2019-05,Saskatchewan,Unemployment,Females,13.5
2019-05,Alberta,Population,Females,1747.5
2019-05,Alberta,Labour force,Females,1155.3
2019-05,Alberta,Employment,Females,1086.3
2019-05,Alberta,Full-time employment,Females,793.7
2019-05,Alberta,Part-time employment,Females,292.5
2019-05,Alberta,Unemployment,Females,69
2019-05,British Columbia,Population,Females,2073
2019-05,British Columbia,Labour force,Females,1295
2019-05,British Columbia,Employment,Females,1236.4
2019-05,British Columbia,Full-time employment,Females,875.6
2019-05,British Columbia,Part-time employment,Females,360.8
2019-05,British Columbia,Unemployment,Females,58.6
2019-05,Canada,Population,Males,15120.9
2019-05,Canada,Labour force,Males,10602.5
2019-05,Canada,Employment,Males,9980.3
2019-05,Canada,Full-time employment,Males,8693.8
2019-05,Canada,Part-time employment,Males,1286.5
2019-05,Canada,Unemployment,Males,622.1
2019-05,Newfoundland and Labrador,Population,Males,215.8
2019-05,Newfoundland and Labrador,Labour force,Males,135.3
2019-05,Newfoundland and Labrador,Employment,Males,115.8
2019-05,Newfoundland and Labrador,Full-time employment,Males,104.1
2019-05,Newfoundland and Labrador,Part-time employment,Males,11.7
2019-05,Newfoundland and Labrador,Unemployment,Males,19.5
2019-05,Prince Edward Island,Population,Males,62.8
2019-05,Prince Edward Island,Labour force,Males,44.4
2019-05,Prince Edward Island,Employment,Males,39.2
2019-05,Prince Edward Island,Full-time employment,Males,35
2019-05,Prince Edward Island,Part-time employment,Males,4.1
2019-05,Prince Edward Island,Unemployment,Males,5.3
2019-05,Nova Scotia,Population,Males,390.2
2019-05,Nova Scotia,Labour force,Males,256.7
2019-05,Nova Scotia,Employment,Males,236.3
2019-05,Nova Scotia,Full-time employment,Males,207
2019-05,Nova Scotia,Part-time employment,Males,29.3
2019-05,Nova Scotia,Unemployment,Males,20.4
2019-05,New Brunswick,Population,Males,308.3
2019-05,New Brunswick,Labour force,Males,201
2019-05,New Brunswick,Employment,Males,182.6
2019-05,New Brunswick,Full-time employment,Males,163.8
2019-05,New Brunswick,Part-time employment,Males,18.8
2019-05,New Brunswick,Unemployment,Males,18.5
2019-05,Quebec,Population,Males,3491.2
2019-05,Quebec,Labour force,Males,2394
2019-05,Quebec,Employment,Males,2255.1
2019-05,Quebec,Full-time employment,Males,1964.1
2019-05,Quebec,Part-time employment,Males,291
2019-05,Quebec,Unemployment,Males,138.9
2019-05,Ontario,Population,Males,5911.5
2019-05,Ontario,Labour force,Males,4110
2019-05,Ontario,Employment,Males,3889.4
2019-05,Ontario,Full-time employment,Males,3379.7
2019-05,Ontario,Part-time employment,Males,509.7
2019-05,Ontario,Unemployment,Males,220.7
2019-05,Manitoba,Population,Males,513.3
2019-05,Manitoba,Labour force,Males,367.7
2019-05,Manitoba,Employment,Males,347.3
2019-05,Manitoba,Full-time employment,Males,302.1
2019-05,Manitoba,Part-time employment,Males,45.2
2019-05,Manitoba,Unemployment,Males,20.4
2019-05,Saskatchewan,Population,Males,448.1
2019-05,Saskatchewan,Labour force,Males,333.2
2019-05,Saskatchewan,Employment,Males,314.6
2019-05,Saskatchewan,Full-time employment,Males,277.6
2019-05,Saskatchewan,Part-time employment,Males,37.1
2019-05,Saskatchewan,Unemployment,Males,18.6
2019-05,Alberta,Population,Males,1768.7
2019-05,Alberta,Labour force,Males,1360.7
2019-05,Alberta,Employment,Males,1260.7
2019-05,Alberta,Full-time employment,Males,1119.2
2019-05,Alberta,Part-time employment,Males,141.5
2019-05,Alberta,Unemployment,Males,100
2019-05,British Columbia,Population,Males,2011.1
2019-05,British Columbia,Labour force,Males,1399.3
2019-05,British Columbia,Employment,Males,1339.4
2019-05,British Columbia,Full-time employment,Males,1141.3
2019-05,British Columbia,Part-time employment,Males,198.1
2019-05,British Columbia,Unemployment,Males,59.9
2019-09,Canada,Population,Females,15634.3
2019-09,Canada,Labour force,Females,9615.2
2019-09,Canada,Employment,Females,9117.8
2019-09,Canada,Full-time employment,Females,6799
2019-09,Canada,Part-time employment,Females,2318.8
2019-09,Canada,Unemployment,Females,497.5
2019-09,Newfoundland and Labrador,Population,Females,224.8
2019-09,Newfoundland and Labrador,Labour force,Females,120.8
2019-09,Newfoundland and Labrador,Employment,Females,108.7
2019-09,Newfoundland and Labrador,Full-time employment,Females,86.4
2019-09,Newfoundland and Labrador,Part-time employment,Females,22.3
2019-09,Newfoundland and Labrador,Unemployment,Females,12
2019-09,Prince Edward Island,Population,Females,66
2019-09,Prince Edward Island,Labour force,Females,41.3
2019-09,Prince Edward Island,Employment,Females,38.8
2019-09,Prince Edward Island,Full-time employment,Females,30.4
2019-09,Prince Edward Island,Part-time employment,Females,8.4
2019-09,Prince Edward Island,Unemployment,Females,2.5
2019-09,Nova Scotia,Population,Females,417.2
2019-09,Nova Scotia,Labour force,Females,249.4
2019-09,Nova Scotia,Employment,Females,233.2
2019-09,Nova Scotia,Full-time employment,Females,176.2
2019-09,Nova Scotia,Part-time employment,Females,57
2019-09,Nova Scotia,Unemployment,Females,16.2
2019-09,New Brunswick,Population,Females,323.3
2019-09,New Brunswick,Labour force,Females,188
2019-09,New Brunswick,Employment,Females,175.1
2019-09,New Brunswick,Full-time employment,Females,140.1
2019-09,New Brunswick,Part-time employment,Females,35
2019-09,New Brunswick,Unemployment,Females,12.9
2019-09,Quebec,Population,Females,3560.9
2019-09,Quebec,Labour force,Females,2189.7
2019-09,Quebec,Employment,Females,2094.7
2019-09,Quebec,Full-time employment,Females,1578.1
2019-09,Quebec,Part-time employment,Females,516.7
2019-09,Quebec,Unemployment,Females,95
2019-09,Ontario,Population,Females,6226.2
2019-09,Ontario,Labour force,Females,3788.3
2019-09,Ontario,Employment,Females,3585.6
2019-09,Ontario,Full-time employment,Females,2686.8
2019-09,Ontario,Part-time employment,Females,898.8
2019-09,Ontario,Unemployment,Females,202.7
2019-09,Manitoba,Population,Females,524.6
2019-09,Manitoba,Labour force,Females,316.6
2019-09,Manitoba,Employment,Females,305.1
2019-09,Manitoba,Full-time employment,Females,226.1
2019-09,Manitoba,Part-time employment,Females,79.1
2019-09,Manitoba,Unemployment,Females,11.5
2019-09,Saskatchewan,Population,Females,441.6
2019-09,Saskatchewan,Labour force,Females,282.5
2019-09,Saskatchewan,Employment,Females,266.9
2019-09,Saskatchewan,Full-time employment,Females,198.7
2019-09,Saskatchewan,Part-time employment,Females,68.2
2019-09,Saskatchewan,Unemployment,Females,15.6
2019-09,Alberta,Population,Females,1760.7
2019-09,Alberta,Labour force,Females,1153.4
2019-09,Alberta,Employment,Females,1086.1
2019-09,Alberta,Full-time employment,Females,792.3
2019-09,Alberta,Part-time employment,Females,293.8
2019-09,Alberta,Unemployment,Females,67.3
2019-09,British Columbia,Population,Females,2089
2019-09,British Columbia,Labour force,Females,1285.3
2019-09,British Columbia,Employment,Females,1223.5
2019-09,British Columbia,Full-time employment,Females,883.8
2019-09,British Columbia,Part-time employment,Females,339.6
2019-09,British Columbia,Unemployment,Females,61.8
2019-09,Canada,Population,Males,15220.6
2019-09,Canada,Labour force,Males,10648
2019-09,Canada,Employment,Males,10037.1
2019-09,Canada,Full-time employment,Males,8742.9
2019-09,Canada,Part-time employment,Males,1294.3
2019-09,Canada,Unemployment,Males,610.9
2019-09,Newfoundland and Labrador,Population,Males,215.1
2019-09,Newfoundland and Labrador,Labour force,Males,132.7
2019-09,Newfoundland and Labrador,Employment,Males,115.9
2019-09,Newfoundland and Labrador,Full-time employment,Males,105.1
2019-09,Newfoundland and Labrador,Part-time employment,Males,10.9
2019-09,Newfoundland and Labrador,Unemployment,Males,16.7
2019-09,Prince Edward Island,Population,Males,63.6
2019-09,Prince Edward Island,Labour force,Males,45.1
2019-09,Prince Edward Island,Employment,Males,40.2
2019-09,Prince Edward Island,Full-time employment,Males,36.8
2019-09,Prince Edward Island,Part-time employment,Males,3.4
2019-09,Prince Edward Island,Unemployment,Males,4.8
2019-09,Nova Scotia,Population,Males,392.6
2019-09,Nova Scotia,Labour force,Males,253.8
2019-09,Nova Scotia,Employment,Males,233.6
2019-09,Nova Scotia,Full-time employment,Males,205.5
2019-09,Nova Scotia,Part-time employment,Males,28.1
2019-09,Nova Scotia,Unemployment,Males,20.3
2019-09,New Brunswick,Population,Males,309.9
2019-09,New Brunswick,Labour force,Males,199.1
2019-09,New Brunswick,Employment,Males,180.5
2019-09,New Brunswick,Full-time employment,Males,160.7
2019-09,New Brunswick,Part-time employment,Males,19.8
2019-09,New Brunswick,Unemployment,Males,18.6
2019-09,Quebec,Population,Males,3505.1
2019-09,Quebec,Labour force,Males,2410.5
2019-09,Quebec,Employment,Males,2280.8
2019-09,Quebec,Full-time employment,Males,1979.2
2019-09,Quebec,Part-time employment,Males,301.6
2019-09,Quebec,Unemployment,Males,129.7
2019-09,Ontario,Population,Males,5961
2019-09,Ontario,Labour force,Males,4151.3
2019-09,Ontario,Employment,Males,3933.7
2019-09,Ontario,Full-time employment,Males,3426.4
2019-09,Ontario,Part-time employment,Males,507.4
2019-09,Ontario,Unemployment,Males,217.6
2019-09,Manitoba,Population,Males,516.4
2019-09,Manitoba,Labour force,Males,370.4
2019-09,Manitoba,Employment,Males,349
2019-09,Manitoba,Full-time employment,Males,307
2019-09,Manitoba,Part-time employment,Males,41.9
2019-09,Manitoba,Unemployment,Males,21.4
2019-09,Saskatchewan,Population,Males,449.7
2019-09,Saskatchewan,Labour force,Males,332.8
2019-09,Saskatchewan,Employment,Males,315.7
2019-09,Saskatchewan,Full-time employment,Males,274.6
2019-09,Saskatchewan,Part-time employment,Males,41.1
2019-09,Saskatchewan,Unemployment,Males,17.1
2019-09,Alberta,Population,Males,1779.8
2019-09,Alberta,Labour force,Males,1358.2
2019-09,Alberta,Employment,Males,1260.6
2019-09,Alberta,Full-time employment,Males,1126.3
2019-09,Alberta,Part-time employment,Males,134.3
2019-09,Alberta,Unemployment,Males,97.6
2019-09,British Columbia,Population,Males,2027.3
2019-09,British Columbia,Labour force,Males,1394.1
2019-09,British Columbia,Employment,Males,1327.1
2019-09,British Columbia,Full-time employment,Males,1121.2
2019-09,British Columbia,Part-time employment,Males,205.9
2019-09,British Columbia,Unemployment,Males,67
2020-01,Canada,Population,Females,15702.2
2020-01,Canada,Labour force,Females,9624.7
2020-01,Canada,Employment,Females,9113.9
2020-01,Canada,Full-time employment,Females,6791.7
2020-01,Canada,Part-time employment,Females,2322.2
2020-01,Canada,Unemployment,Females,510.8
2020-01,Newfoundland and Labrador,Population,Females,224.8
2020-01,Newfoundland and Labrador,Labour force,Females,121.1
2020-01,Newfoundland and Labrador,Employment,Females,110.7
2020-01,Newfoundland and Labrador,Full-time employment,Females,87
2020-01,Newfoundland and Labrador,Part-time employment,Females,23.7
2020-01,Newfoundland and Labrador,Unemployment,Females,10.4
2020-01,Prince Edward Island,Population,Females,66.3
2020-01,Prince Edward Island,Labour force,Females,42
2020-01,Prince Edward Island,Employment,Females,39.1
2020-01,Prince Edward Island,Full-time employment,Females,30.9
2020-01,Prince Edward Island,Part-time employment,Females,8.2
2020-01,Prince Edward Island,Unemployment,Females,2.9
2020-01,Nova Scotia,Population,Females,418.7
2020-01,Nova Scotia,Labour force,Females,247.3
2020-01,Nova Scotia,Employment,Females,232
2020-01,Nova Scotia,Full-time employment,Females,178.1
2020-01,Nova Scotia,Part-time employment,Females,53.9
2020-01,Nova Scotia,Unemployment,Females,15.2
2020-01,New Brunswick,Population,Females,324.1
2020-01,New Brunswick,Labour force,Females,186.2
2020-01,New Brunswick,Employment,Females,176.2
2020-01,New Brunswick,Full-time employment,Females,142.7
2020-01,New Brunswick,Part-time employment,Females,33.5
2020-01,New Brunswick,Unemployment,Females,10
2020-01,Quebec,Population,Females,3570.6
2020-01,Quebec,Labour force,Females,2184.5
2020-01,Quebec,Employment,Females,2091.3
2020-01,Quebec,Full-time employment,Females,1598.7
2020-01,Quebec,Part-time employment,Females,492.6
2020-01,Quebec,Unemployment,Females,93.2
2020-01,Ontario,Population,Females,6258.2
2020-01,Ontario,Labour force,Females,3823.8
2020-01,Ontario,Employment,Females,3618.5
2020-01,Ontario,Full-time employment,Females,2717.5
2020-01,Ontario,Part-time employment,Females,901
2020-01,Ontario,Unemployment,Females,205.3
2020-01,Manitoba,Population,Females,526.2
2020-01,Manitoba,Labour force,Females,322.8
2020-01,Manitoba,Employment,Females,307.3
2020-01,Manitoba,Full-time employment,Females,219.9
2020-01,Manitoba,Part-time employment,Females,87.5
2020-01,Manitoba,Unemployment,Females,15.5
2020-01,Saskatchewan,Population,Females,442.5
2020-01,Saskatchewan,Labour force,Females,283
2020-01,Saskatchewan,Employment,Females,268.6
2020-01,Saskatchewan,Full-time employment,Females,199.7
2020-01,Saskatchewan,Part-time employment,Females,68.9
2020-01,Saskatchewan,Unemployment,Females,14.4
2020-01,Alberta,Population,Females,1769.9
2020-01,Alberta,Labour force,Females,1147.4
2020-01,Alberta,Employment,Females,1063.6
2020-01,Alberta,Full-time employment,Females,768.4
2020-01,Alberta,Part-time employment,Females,295.2
2020-01,Alberta,Unemployment,Females,83.8
2020-01,British Columbia,Population,Females,2100.9
2020-01,British Columbia,Labour force,Females,1266.7
2020-01,British Columbia,Employment,Females,1206.6
2020-01,British Columbia,Full-time employment,Females,848.8
2020-01,British Columbia,Part-time employment,Females,357.8
2020-01,British Columbia,Unemployment,Females,60.1
2020-01,Canada,Population,Males,15293.2
2020-01,Canada,Labour force,Males,10658.8
2020-01,Canada,Employment,Males,10045.2
2020-01,Canada,Full-time employment,Males,8779.5
2020-01,Canada,Part-time employment,Males,1265.7
2020-01,Canada,Unemployment,Males,613.6
2020-01,Newfoundland and Labrador,Population,Males,214.9
2020-01,Newfoundland and Labrador,Labour force,Males,131.5
2020-01,Newfoundland and Labrador,Employment,Males,111.8
2020-01,Newfoundland and Labrador,Full-time employment,Males,100.7
2020-01,Newfoundland and Labrador,Part-time employment,Males,11.1
2020-01,Newfoundland and Labrador,Unemployment,Males,19.7
2020-01,Prince Edward Island,Population,Males,64
2020-01,Prince Edward Island,Labour force,Males,44.8
2020-01,Prince Edward Island,Employment,Males,41.2
2020-01,Prince Edward Island,Full-time employment,Males,37.4
2020-01,Prince Edward Island,Part-time employment,Males,3.8
2020-01,Prince Edward Island,Unemployment,Males,3.6
2020-01,Nova Scotia,Population,Males,394.3
2020-01,Nova Scotia,Labour force,Males,257.2
2020-01,Nova Scotia,Employment,Males,235.3
2020-01,Nova Scotia,Full-time employment,Males,204.2
2020-01,Nova Scotia,Part-time employment,Males,31.1
2020-01,Nova Scotia,Unemployment,Males,22
2020-01,New Brunswick,Population,Males,310.6
2020-01,New Brunswick,Labour force,Males,203.9
2020-01,New Brunswick,Employment,Males,184.7
2020-01,New Brunswick,Full-time employment,Males,165.9
2020-01,New Brunswick,Part-time employment,Males,18.8
2020-01,New Brunswick,Unemployment,Males,19.2
2020-01,Quebec,Population,Males,3518.5
2020-01,Quebec,Labour force,Males,2412.7
2020-01,Quebec,Employment,Males,2273.1
2020-01,Quebec,Full-time employment,Males,1964.4
2020-01,Quebec,Part-time employment,Males,308.8
2020-01,Quebec,Unemployment,Males,139.5
2020-01,Ontario,Population,Males,5995.2
2020-01,Ontario,Labour force,Males,4149.8
2020-01,Ontario,Employment,Males,3939.8
2020-01,Ontario,Full-time employment,Males,3456.2
2020-01,Ontario,Part-time employment,Males,483.6
2020-01,Ontario,Unemployment,Males,210
2020-01,Manitoba,Population,Males,518
2020-01,Manitoba,Labour force,Males,373.9
2020-01,Manitoba,Employment,Males,353.6
2020-01,Manitoba,Full-time employment,Males,304.5
2020-01,Manitoba,Part-time employment,Males,49.2
2020-01,Manitoba,Unemployment,Males,20.3
2020-01,Saskatchewan,Population,Males,450.6
2020-01,Saskatchewan,Labour force,Males,334.5
2020-01,Saskatchewan,Employment,Males,311.7
2020-01,Saskatchewan,Full-time employment,Males,277.4
2020-01,Saskatchewan,Part-time employment,Males,34.3
2020-01,Saskatchewan,Unemployment,Males,22.9
2020-01,Alberta,Population,Males,1787.8
2020-01,Alberta,Labour force,Males,1352.7
2020-01,Alberta,Employment,Males,1254.9
2020-01,Alberta,Full-time employment,Males,1126.6
2020-01,Alberta,Part-time employment,Males,128.4
2020-01,Alberta,Unemployment,Males,97.8
2020-01,British Columbia,Population,Males,2039.4
2020-01,British Columbia,Labour force,Males,1397.7
2020-01,British Columbia,Employment,Males,1339
2020-01,British Columbia,Full-time employment,Males,1142.3
2020-01,British Columbia,Part-time employment,Males,196.7
2020-01,British Columbia,Unemployment,Males,58.7
2020-05,Canada,Population,Females,15758
2020-05,Canada,Labour force,Females,8902.2
2020-05,Canada,Employment,Females,7655.8
2020-05,Canada,Full-time employment,Females,6004.9
2020-05,Canada,Part-time employment,Females,1650.9
2020-05,Canada,Unemployment,Females,1246.4
2020-05,Newfoundland and Labrador,Population,Females,224.7
2020-05,Newfoundland and Labrador,Labour force,Females,115.9
2020-05,Newfoundland and Labrador,Employment,Females,103.6
2020-05,Newfoundland and Labrador,Full-time employment,Females,81.5
2020-05,Newfoundland and Labrador,Part-time employment,Females,22.1
2020-05,Newfoundland and Labrador,Unemployment,Females,12.3
2020-05,Prince Edward Island,Population,Females,66.7
2020-05,Prince Edward Island,Labour force,Females,39.8
2020-05,Prince Edward Island,Employment,Females,33.5
2020-05,Prince Edward Island,Full-time employment,Females,26.8
2020-05,Prince Edward Island,Part-time employment,Females,6.8
2020-05,Prince Edward Island,Unemployment,Females,6.3
2020-05,Nova Scotia,Population,Females,419.8
2020-05,Nova Scotia,Labour force,Females,229.2
2020-05,Nova Scotia,Employment,Females,194.2
2020-05,Nova Scotia,Full-time employment,Females,149
2020-05,Nova Scotia,Part-time employment,Females,45.2
2020-05,Nova Scotia,Unemployment,Females,35
2020-05,New Brunswick,Population,Females,324.7
2020-05,New Brunswick,Labour force,Females,180.4
2020-05,New Brunswick,Employment,Females,157.3
2020-05,New Brunswick,Full-time employment,Females,130.8
2020-05,New Brunswick,Part-time employment,Females,26.4
2020-05,New Brunswick,Unemployment,Females,23.1
2020-05,Quebec,Population,Females,3579.1
2020-05,Quebec,Labour force,Females,2070.6
2020-05,Quebec,Employment,Females,1785.7
2020-05,Quebec,Full-time employment,Females,1460.4
2020-05,Quebec,Part-time employment,Females,325.3
2020-05,Quebec,Unemployment,Females,284.9
2020-05,Ontario,Population,Females,6283.9
2020-05,Ontario,Labour force,Females,3468
2020-05,Ontario,Employment,Females,2977.4
2020-05,Ontario,Full-time employment,Females,2343.6
2020-05,Ontario,Part-time employment,Females,633.9
2020-05,Ontario,Unemployment,Females,490.5
2020-05,Manitoba,Population,Females,527.2
2020-05,Manitoba,Labour force,Females,302.3
2020-05,Manitoba,Employment,Females,264.4
2020-05,Manitoba,Full-time employment,Females,197.4
2020-05,Manitoba,Part-time employment,Females,67
2020-05,Manitoba,Unemployment,Females,37.9
